id,created_at,updated_at,name,postal_code,outward_code,inward_code,area,district,sector,unit
1,2024-11-04 12:29:06,2024-11-04 12:29:06,N1,,,,,,,
2,2024-11-04 12:29:06,2024-11-04 12:29:06,N4,,,,,,,
3,2024-11-04 12:29:06,2024-11-04 12:29:06,N5,,,,,,,
4,2024-11-04 12:29:06,2024-11-04 12:29:06,N7,,,,,,,
5,2024-11-04 12:29:06,2024-11-04 12:29:06,N16,,,,,,,
6,2024-11-04 12:29:06,2024-11-04 12:29:06,N19,,,,,,,
7,2024-11-04 12:29:06,2024-11-04 12:29:06,W1,,,,,,,
8,2024-11-04 12:29:06,2024-11-04 12:29:06,NW1,,,,,,,
9,2024-11-04 12:29:06,2024-11-04 12:29:06,NW5,,,,,,,
10,2024-11-04 12:29:06,2024-11-04 12:29:06,WC1,,,,,,,
11,2024-11-04 12:29:06,2024-11-04 12:29:06,WC2,,,,,,,
12,2024-11-04 12:29:06,2024-11-04 12:29:06,EC1,,,,,,,
13,2024-11-04 12:29:06,2024-11-04 12:29:06,EC2,,,,,,,
14,2024-11-04 12:29:06,2024-11-04 12:29:06,EC3,,,,,,,
15,2024-11-04 12:29:06,2024-11-04 12:29:06,EC4,,,,,,,
16,2024-11-04 12:29:06,2024-11-04 12:29:06,E1,,,,,,,
17,2024-11-04 12:29:06,2024-11-04 12:29:06,E2,,,,,,,
18,2024-11-04 12:29:06,2024-11-04 12:29:06,E5,,,,,,,
19,2024-11-04 12:29:06,2024-11-04 12:29:06,E8,,,,,,,
20,2024-11-04 12:29:06,2024-11-04 12:29:06,E9,,,,,,,
